Date,PX_LAST,PX_VOLUME
6/13/2001,124.8,7629600
6/14/2001,122,12603300
6/15/2001,121.85,16821300
6/18/2001,121.26,11376600
6/19/2001,121.79,7732300
6/20/2001,122.43,8787200
6/21/2001,123.82,12259100
6/22/2001,122.85,12212000
6/25/2001,121.72,8406800
6/26/2001,121.55,8006900
6/27/2001,121.48,10105100
6/28/2001,122.15,10271000
6/29/2001,122.6,9824200
7/2/2001,124.13,8522400
7/3/2001,124.1,3303100
7/5/2001,121.68,5520900
7/6/2001,119.05,11666200
7/9/2001,119.7,8340500
7/10/2001,118.26,8631900
7/11/2001,118.38,15374000
7/12/2001,121.19,12004800
7/13/2001,122.24,10433800
7/16/2001,120.71,6915300
7/17/2001,121.84,7470300
7/18/2001,121.01,7710300
7/19/2001,122.07,10083000
7/20/2001,121.34,6705800
7/23/2001,118.95,8067200
7/24/2001,117.8,12271000
7/25/2001,119.1,12090900
7/26/2001,120.35,12930100
7/27/2001,120.81,8481800
7/30/2001,120.85,8547700
7/31/2001,121.35,11918600
8/1/2001,122.11,11941800
8/2/2001,122.61,11070200
8/3/2001,121.94,10817900
8/6/2001,120.3,8550400
8/7/2001,120.77,8865100
8/8/2001,118.53,15183800
8/9/2001,118.88,14118500
8/10/2001,119.29,11173300
8/13/2001,119.32,7435400
8/14/2001,119.27,13178100
8/15/2001,118.24,8520600
8/16/2001,118.65,10735800
8/17/2001,116.75,11604600
8/20/2001,117.83,10417400
8/21/2001,115.82,14481500
8/22/2001,117.02,11752900
8/23/2001,116.6,8750300
8/24/2001,119.02,11688900
8/27/2001,118.31,7428100
8/28/2001,116.58,12046600
8/29/2001,115.54,16181800
8/30/2001,113.32,17693300
8/31/2001,114.15,15985700
9/4/2001,113.42,24476400
9/5/2001,113.7,21477700
9/6/2001,110.77,21655500
9/7/2001,108.72,33133900
9/10/2001,110.05,23409000
9/17/2001,104.3,32393800
9/18/2001,104.05,22029200
9/19/2001,101.95,42772100
9/20/2001,98.71,36212800
9/21/2001,97.28,49783500
9/24/2001,100.7,25549900
9/25/2001,101.75,25466200
9/26/2001,101.39,18587700
9/27/2001,102.27,20536800
9/28/2001,104.44,21787700
10/1/2001,104.27,20457800
10/2/2001,105.58,19833600
10/3/2001,107.35,32070900
10/4/2001,107.44,32676200
10/5/2001,107.23,29830200
10/8/2001,106.53,12971200
10/9/2001,105.96,15976300
10/10/2001,108.32,19992400
10/11/2001,110,23011600
10/12/2001,109.5,31363500
10/15/2001,109.3,16875000
10/16/2001,109.99,15885900
10/17/2001,107.65,28601700
10/18/2001,107.42,16521100
10/19/2001,107.35,21916300
10/22/2001,109.47,17571200
10/23/2001,108.91,22064500
10/24/2001,108.62,16065400
10/25/2001,110.57,27504000
10/26/2001,110.32,18623700
10/29/2001,107.45,18743900
10/30/2001,106.16,26203400
10/31/2001,105.8,28132000
11/1/2001,108.51,29807300
11/2/2001,109.25,17577900
11/5/2001,110.68,16100900
11/6/2001,112.4,23248100
11/7/2001,112.25,19717800
11/8/2001,112.6,22749200
11/9/2001,112.72,15897500
11/12/2001,112.03,26096600
11/13/2001,114.55,15347100
11/14/2001,114.66,17595500
11/15/2001,114.87,19472500
11/16/2001,114.36,18135900
11/19/2001,115.77,13683800
11/20/2001,114.8,16223000
11/21/2001,114.04,11471100
11/23/2001,115.68,6716900
11/26/2001,115.93,13729700
11/27/2001,115.43,19266400
11/28/2001,113.34,20247200
11/29/2001,114.87,17267900
11/30/2001,114.05,13680400
12/3/2001,113.37,15220400
12/4/2001,115.29,17245800
12/5/2001,117.4,25204000
12/6/2001,117.34,17972900
12/7/2001,116.56,18908000
12/10/2001,114.38,13862800
12/11/2001,114.15,20833500
12/12/2001,114.28,16172400
12/13/2001,112.06,19037900
12/14/2001,113.13,16723100
12/17/2001,114.3,13947300
12/18/2001,114.98,13664000
12/19/2001,115.79,20147400
12/20/2001,114.65,14867900
12/21/2001,114.95,14042700
12/24/2001,114.73,5728800
12/26/2001,115.36,10307900
12/27/2001,116.06,9407300
12/28/2001,116,10593800
12/31/2001,114.3,14620200
1/2/2002,115.53,18652200
1/3/2002,116.84,15743100
1/4/2002,117.62,20140700
1/7/2002,116.79,13106500
1/8/2002,116.52,12687200
1/9/2002,115.57,16616900
1/10/2002,116.08,12823400
1/11/2002,114.94,13708500
1/14/2002,114.22,12304300
1/15/2002,115.15,20221400
1/16/2002,112.82,17077200
1/17/2002,113.67,17707900
1/18/2002,113.15,17028200
1/22/2002,112.29,11472400
1/23/2002,113.23,12439100
1/24/2002,113.58,12163100
1/25/2002,113.55,12810700
1/28/2002,113.86,10589500
1/29/2002,110.28,27736100
1/30/2002,111.87,34712000
1/31/2002,113.18,19910100
2/1/2002,112.65,15838500
2/4/2002,109.85,24247500
2/5/2002,109.17,33614000
2/6/2002,108.7,29670400
2/7/2002,108.02,23450200
2/8/2002,110.09,19278100
2/11/2002,111.44,18792400
2/12/2002,111.09,13942500
2/13/2002,112.27,16791900
2/14/2002,112.06,20458200
2/15/2002,110.89,18394600
2/19/2002,108.76,15998300
2/20/2002,110.59,29247100
2/21/2002,108.3,26292800
2/22/2002,109.64,26572900
2/25/2002,111.45,17459600
2/26/2002,111.22,22362900
2/27/2002,111.65,28597900
2/28/2002,111.15,23755500
3/1/2002,113.74,26186600
3/4/2002,115.75,27187800
3/5/2002,115.38,22733500
3/6/2002,116.75,20169700
3/7/2002,116.5,19331900
3/8/2002,116.99,19930800
3/11/2002,117.24,15622100
3/12/2002,117.17,17155000
3/13/2002,116.04,17176600
3/14/2002,115.88,11169600
3/15/2002,116.65,21222100
3/18/2002,116.67,17558000
3/19/2002,117.45,17913600
3/20/2002,115.24,17128200
3/21/2002,115.29,26888800
3/22/2002,115.04,15235400
3/25/2002,113.61,17507200
3/26/2002,114.27,19950600
3/27/2002,114.57,19021400
3/28/2002,114.52,17535900
4/1/2002,114.57,17714000
4/2/2002,113.94,15596700
4/3/2002,113.14,25662700
4/4/2002,112.67,23561400
4/5/2002,112.69,19404900
4/8/2002,112.93,16476200
4/9/2002,112.14,15122700
4/10/2002,113.41,17204500
4/11/2002,110.59,25460200
4/12/2002,111.42,14950600
4/15/2002,110.57,17403600
4/16/2002,113.2,15098400
4/17/2002,112.96,12928600
4/18/2002,112.47,25219800
4/19/2002,112.88,10602500
4/22/2002,111,13924500
4/23/2002,110.52,16973800
4/24/2002,109.41,18903900
4/25/2002,109.47,25456900
4/26/2002,107.39,19770000
4/29/2002,106.86,17725600
4/30/2002,107.86,19475300
5/1/2002,109.18,24581100
5/2/2002,108.76,15667300
5/3/2002,107.58,18186000
5/6/2002,105.47,23911200
5/7/2002,105.1,22173500
5/8/2002,109.01,27918600
5/9/2002,107.75,18087300
5/10/2002,105.72,18959500
5/13/2002,107.87,14687000
5/14/2002,110.22,34224900
5/15/2002,109.79,29539200
5/16/2002,110.36,28097400
5/17/2002,110.9,27823700
5/20/2002,109.7,13834200
5/21/2002,108.7,16878100
5/22/2002,108.94,15845100
5/23/2002,110.1,13881600
5/24/2002,108.69,11876600
5/28/2002,108.1,24237200
5/29/2002,107.3,14779300
5/30/2002,107,18218100
5/31/2002,107.22,19826300
6/3/2002,104.37,26074700
6/4/2002,104.63,25872100
6/5/2002,105.61,19718500
6/6/2002,103.46,23369900
6/7/2002,103.34,24011600
6/10/2002,103.74,18760200
6/11/2002,101.96,19992200
6/12/2002,102.58,31273400
